tier,id,name,brand,subBrand,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,bundleEligible,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
gold,g1,Stella ET Plush,HZ Sleep,,2,Plush,,Hybrid|Cooling|Latex|Wool|Tencel|Hand-Tufted|Zoned Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury from HZ Sleep. The Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience.",yes,yes,plush|cooling|pressure-relief|hybrid|motion-isolation|latex|wool|tencel|hand-tufting|soft|zoned|durability|hypoallergenic|quality|edge-support|memory,Tencel cooling cover with phase-change foam and New Zealand wool for a temperature-neutral sleep surface,Talalay latex and Serene Specialty Foam deliver 30% more pressure relief with responsive contouring,Individually-pocketed zoned coils plus Nano micro-coils minimize partner disturbance,"Individually-pocketed zoned coils with 25% more support through the middle third, plus Deluxe Edge Support foam encasement",Cloud-like plush euro top feel with Talalay latex and New Zealand wool — ideal for side sleepers and pressure-point relief,,,"Hand-tufted construction, Talalay latex, and tempered zoned coils (2015 in Queen) built to last a lifetime","Handcrafted luxury from HZ Sleep, the Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience."
gold,g2,Stella Firm,HZ Sleep,,8,Firm,,Hybrid|Cooling|Latex|Wool|Tencel|Hand-Tufted|Zoned Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury from HZ Sleep. The Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience.",yes,yes,medium|cooling|pressure-relief|hybrid|motion-isolation|latex|wool|tencel|hand-tufting|zoned|durability|hypoallergenic|quality|edge-support|memory,Tencel cooling cover with phase-change foam and New Zealand wool for a temperature-neutral sleep surface,Talalay latex and Serene Specialty Foam deliver 30% more pressure relief with responsive contouring,Individually-pocketed zoned coils plus Nano micro-coils minimize partner disturbance,"Individually-pocketed zoned coils with 25% more support through the middle third, plus Deluxe Edge Support foam encasement",,"Perfect medium feel for most sleepers and all sleep positions, with balanced Talalay latex responsiveness",,"Hand-tufted construction, Talalay latex, and tempered zoned coils (2015 in Queen) built to last a lifetime","Handcrafted luxury from HZ Sleep, the Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience."
silver,s1,Ember Firm,HZ Sleep,,7,Firm,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep",yes,yes,firm|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,,Extra firm for stomach sleepers and larger builds,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep"
silver,s2,Ember Plush,HZ Sleep,,2,Plush,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep",yes,yes,plush|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|soft|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils","Welcoming, soft plush feel for side sleepers",,,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep"
silver,s3,Jenna Plush,HZ Sleep,,2,Plush,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep",yes,yes,plush|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|hybrid|soft|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for exceptional pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,True cloud-like plush feel for side sleepers,,,,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep"
silver,s4,Jenna Firm,HZ Sleep,,8,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep",yes,yes,firm|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|foam-encasement|hybrid|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep"
silver,s5,Malia,HZ Sleep,,5,Medium,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,yes,medium|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium feel for most sleepers,,,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
silver,s6,Malia Firm,HZ Sleep,,9,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,yes,firm|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
silver,s7,PRObreeze 2.0 Medium,Tempurpedic,,5,Medium,,,All-Foam|Cooling|Premium|TEMPUR-APR,Premium cooling mattress — 3-level system sleeps up to 10° cooler,no,yes,medium|cooling|pressure-relief|memory|motion-isolation|comfort|quality,PureCool+ phase-change cover and 3-level cooling system — sleeps up to 10° cooler,TEMPUR-APR material deeply contours to relieve hip and shoulder pressure,All-foam TEMPUR construction absorbs partner motion completely,,,Balanced medium feel ideal for back and combination sleepers,,Tempurpedic's proprietary TEMPUR-APR material and 10-year warranty,Premium all-foam cooling Tempurpedic in a balanced medium feel
silver,s8,PROAdapt 2.0 Medium Hybrid,Tempurpedic,,5,Medium,,Hybrid|Cooling|Cashmere|Camelhair|Microcoils|Latex|Support,Hybrid|Cooling|Premium|TEMPUR,Hybrid Tempurpedic — TEMPUR material over 1160 pocketed coils,no,yes,medium|cooling|hybrid|pressure-relief|motion-isolation|support|memory|durability|quality,SmartClimate dual cover wicks heat away from the body,Two layers of pressure-relieving TEMPUR material contour to your body,Pocketed coils individually isolate motion while TEMPUR absorbs shifts,1160-coil pocketed spring unit delivers targeted support where you need it,,Hybrid construction pairs coil responsiveness with pressure-relieving feel,,Pocketed coil durability plus Tempurpedic 10-year warranty,Hybrid luxury from Tempurpedic — TEMPUR material over a premium coil system
silver,s9,PROAdapt 2.0 Firm,Tempurpedic,,8,Firm,,Hybrid|Cooling|Cashmere|Camelhair|Microcoils|Latex|Support,All-Foam|Cooling|Premium|TEMPUR-APR,Firm Tempurpedic with TEMPUR-APR support and cooling technology,no,yes,firm|support|pressure-relief|cooling|memory|motion-isolation|durability|quality,Cool-to-touch cover and TEMPUR cooling technology keep the surface temperate,Two layers of pressure-relieving TEMPUR material for back and stomach sleepers,All-foam TEMPUR construction absorbs partner motion completely,Firm TEMPUR-APR material delivers head-to-toe support — ideal for back pain,,,Firm feel gives stomach sleepers and heavier builds the support they need,Tempurpedic 10-year warranty and TEMPUR-APR engineered for long-term performance,Firm all-foam Tempurpedic with premium cooling and pressure relief
silver,s10,PROAdapt 2.0 Medium,Tempurpedic,,5,Medium,,,All-Foam|Cooling|Premium|TEMPUR-APR,All-foam Tempurpedic — TEMPUR-APR material with SmartClimate cover,no,yes,medium|cooling|pressure-relief|memory|motion-isolation|comfort|quality,SmartClimate dual cover wicks heat away from the body,TEMPUR-APR material deeply contours to relieve pressure,All-foam TEMPUR construction absorbs partner motion completely,,,Balanced medium feel ideal for back and combination sleepers,,Tempurpedic's proprietary TEMPUR-APR material and 10-year warranty,Premium all-foam Tempurpedic with TEMPUR-APR adaptive support
silver,s11,Lux Estate Medium Tight Top,Stearns & Foster,,5,Medium,,,Hybrid|IntelliCoil|TEMPUR-Indulge|Cooling,"Medium S&F hybrid — 8 air vents, cooling cover, TEMPUR-Indulge foam",no,yes,medium|cooling|hybrid|pressure-relief|motion-isolation|memory|support|durability|quality,AirVent System with 8 ventilated air channels and cooling-fiber TENCEL cover for advanced heat dissipation,TEMPUR-Indulge Memory Foam developed by Tempur-Pedic,TEMPUR-Indulge foam absorbs partner motion,IntelliCoil innersprings with Precision Edge high-density border,,Balanced medium feel ideal for most sleep positions,,"10-year full replacement warranty, manufactured in the USA",Premium S&F Lux Estate hybrid with advanced cooling and TEMPUR-Indulge foam
silver,s12,Lux Estate Medium Euro Pillow Top,Stearns & Foster,,5,Medium,,,Hybrid|IntelliCoil|Euro Pillow Top|Cooling,Medium S&F hybrid — Euro pillow top with 8 air vents and cooling cover,no,yes,medium|cooling|hybrid|pressure-relief|motion-isolation|memory|support|durability|quality,AirVent System with 8 ventilated air channels and cooling-fiber TENCEL cover,TEMPUR-Indulge Memory Foam and Euro pillow top for deep pressure relief,TEMPUR-Indulge foam absorbs partner motion,IntelliCoil innersprings with Precision Edge high-density border,,Balanced medium feel with plush Euro pillow top,,"10-year full replacement warranty, manufactured in the USA","Premium S&F Lux Estate hybrid with Euro pillow top, advanced cooling, and TEMPUR-Indulge foam"
bronze,b1,Black Ice Plush,HZ Sleep,,3,Plush,,,Hybrid|Cooling|Cool Titanium,"Triple-cooling hybrid — CoolStream fabric, Cool Titanium foam, Ice Flex mineral bands",yes,yes,plush|cooling|pressure-relief|hybrid|motion-isolation|soft|memory|comfort|durability,"Triple cooling — CoolStream conductive yarns, Cool Titanium foam, and Ice Flex mineral bands",Cool Titanium memory foam contours and relieves pressure on hips and shoulders,Titanium-infused memory foam absorbs partner motion,Foam-encased 9-Series coil unit delivers full-surface support,Soft plush feel ideal for side sleepers and lighter builds,,,20-year warranty and 121-night sleep guarantee,Locally-made HZ Sleep hybrid with three integrated cooling technologies
bronze,b2,Black Ice Firm,HZ Sleep,,9,Firm,,,Hybrid|Cooling|Cool Titanium,Extra-firm triple-cooling hybrid with foam-encased 9-Series coils,yes,yes,firm|cooling|hybrid|motion-isolation|support|memory|comfort|durability,"Triple cooling — CoolStream conductive yarns, Cool Titanium foam, and Ice Flex mineral bands",,Titanium-infused memory foam absorbs partner motion,Foam-encased 9-Series coil unit delivers full-body structured support,,,Extra-firm feel for stomach sleepers and heavier builds,20-year warranty and 121-night sleep guarantee,Locally-made HZ Sleep hybrid with three integrated cooling technologies in an extra-firm feel
bronze,b3,Kimber ET Plush,HZ Sleep,,2,Plush,,Hybrid|Zoned Support|Cooling,Hybrid|Cooling|Zoned Support,Cool gel foam with zoned coils for spinal alignment,yes,yes,plush|cooling|gel-infused-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Zoned pocketed coil system with foam encasement provides edge-to-edge support,,Perfect medium-plush feel for most sleepers,,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment"
bronze,b4,Kimber Firm,HZ Sleep,,8,Firm,,Hybrid|Zoned Support|Cooling,Hybrid|Cooling|Zoned Support,Cool gel foam with zoned coils for spinal alignment,yes,yes,firm|cooling|gel-infused-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Zoned pocketed coil system with foam encasement provides edge-to-edge support,,,,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment"
bronze,b5,Diamond V Firm,HZ Sleep,,7,Firm,,,Hybrid|Copper|Tri-Zoned Coils|Cooling,Hybrid with copper-infused memory foam and Texas-made Tri-Zoned coils,yes,yes,firm|cooling|hybrid|pressure-relief|motion-isolation|support|zoned|memory|durability,CoolTouch temperature-regulating fabric with conductive yarns that actively remove heat,Copper-infused memory foam contours and relieves pressure,Foam-encased Tri-Zoned coils minimize partner disturbance,"Tri-Zoned encased coils, produced in Texas and tempered for extra strength",,,Firm feel ideal for back and stomach sleepers seeking support,20-year warranty with 121-night sleep guarantee,Locally-made HZ Sleep hybrid with copper-infused foam and Texas-made Tri-Zoned coils
bronze,b6,Adapt 2.0 Medium Hybrid,Tempurpedic,,5,Medium,,,Hybrid|Cooling|TEMPUR,Hybrid Tempurpedic with two layers of TEMPUR material and cooling cover,no,yes,medium|hybrid|cooling|pressure-relief|motion-isolation|support|memory|comfort|quality,Cool-to-touch cover provides surface-level temperature relief,Two layers of premium TEMPUR material cradle hips and shoulders,Hybrid construction with TEMPUR motion-absorbing foam,Pocketed coil spring unit provides structured support,,Balanced medium feel that adapts to your sleep position,,Tempurpedic 10-year warranty,Entry Tempurpedic hybrid — quality construction in an accessible price point
bronze,b7,Adapt 2.0 Medium,Tempurpedic,,5,Medium,,,All-Foam|TEMPUR|Cooling,All-foam Tempurpedic — two layers of TEMPUR material for full body adaptability,no,yes,medium|cooling|pressure-relief|memory|motion-isolation|comfort|quality,Cool-to-touch cover takes heat away from the body,Premium TEMPUR material delivers pressure relief where you need it,All-foam TEMPUR construction absorbs partner motion,,,Medium feel adapts to your sleep position throughout the night,,Tempurpedic 10-year warranty,Entry Tempurpedic all-foam — premium TEMPUR material in an accessible price point
bronze,b8,Estate Firm Tight Top,Stearns & Foster,,9,Firm,,,Hybrid|IntelliCoil|TEMPUR-Indulge|AirVent,Firm S&F hybrid — IntelliCoil innersprings with TEMPUR-Indulge memory foam,no,yes,firm|cooling|hybrid|support|motion-isolation|memory|pressure-relief|durability|quality,AirVent System — 4 ventilated air channels plus stretch-knit TENCEL moisture-wicking cover,TEMPUR-Indulge Memory Foam developed by Tempur-Pedic for targeted pressure relief,TEMPUR-Indulge foam layer absorbs partner motion,IntelliCoil innersprings with Precision Edge high-density border for full-surface support,,,Firm feel for stomach sleepers and heavier builds,10-year full replacement warranty with 121-night sleep guarantee,Luxury S&F hybrid with IntelliCoil and TEMPUR-Indulge foam in a firm feel
bronze,b9,Estate Soft Euro Pillow Top,Stearns & Foster,,2,Plush,,,Hybrid|IntelliCoil|Euro Pillow Top|TEMPUR-Indulge,Plush S&F hybrid — Euro pillow top with TEMPUR-Indulge memory foam,no,yes,plush|cooling|hybrid|pressure-relief|motion-isolation|soft|memory|durability|quality,AirVent System — 4 ventilated air channels plus stretch-knit TENCEL moisture-wicking cover,TEMPUR-Indulge Memory Foam and Euro pillow top deliver deep pressure relief,TEMPUR-Indulge foam layer absorbs partner motion,IntelliCoil innersprings with Precision Edge high-density border,Euro pillow top with TEMPUR-Indulge foam — ideal for side sleepers,,,10-year full replacement warranty with 121-night sleep guarantee,Luxury S&F hybrid with Euro pillow top and TEMPUR-Indulge foam in a soft plush feel
